Company,Last Name,First Name,Mobile Phone,Phone,Zip,State,City,Address 1,WebSite,E-mail,Contact
Hilton San Antonio Airport,Hearon,Andy,+1 (806) 535-5401,+1 (210) 377-4607,78216,TX,San Antonio,611 N.W. Loop 410,www.HiltonSanAntonioap.com,andy.hearon@hilton.com,Andy Hearon
Hilton San Antonio Hill Country,Benedict,Teresa,,+1 (210) 767-5309,78251,TX,San Antonio,"9800 Westover Hills Blvd.,",www.SanAntonioHillCountry.Hilton.com,Teresa.Benedict@Hilton.com,Teresa Benedict
Hofmann Ranch by Wedgewood Weddings,White,Jackie,+1 (210) 240-6704,+1 (830) 931-9257,78009,TX,Castroville,448 PR 4742,www.hofmannranch.com,HofmannRanchGM@WedgewoodWeddings.com,Jackie White
Holy Trinity Banquet Hall,Gonzales,Deacon,,+1 (210) 497-0700,78258,TX,San Antonio,20523 Huebner Rd.,www.HolyTrinitysat.org,deaconray@HolyTrinitysat.org,Deacon Ray Gonzales
Hotel Valencia Riverwalk,Seaborn,Stacy,,+1 (210) 227-9700,78205,TX,San Antonio,150 E. Houston Street,www.hotelvalencia-riverwalk.com,sseaborn@valenciagroup.com,Stacy Seaborn
House of Blooms Florist,Fairchild,Gina,,+1 (210) 372-9444,78023,TX,Helotes,"12274 Bandera Rd, Suite 122",www.houseofbloomsweddings.com,Ginaf@houseofbloomstx.com,Gina Fairchild
Hyatt Hill Country Resort,Soltas,Katie,+1 (219) 775-0307,+1 (210) 520-4021,78251,TX,San Antonio,"9800 Hyatt Resort Drive,",,kathryn.soltas@hyatt.com,Katie Soltas
IllumiFloor,Cheney,David,,+1 (210) 479-5541,78248,TX,San Antonio,14051 Blanco Road,www.Illumifloor.com,info@dpceventservices.com,David Cheney
Illusions Rentals & Designs,Ontjes,Laurie,,+1 (210) 223-2742,78219,TX,San Antonio,"1107 AT&T Center Pkwy, Ste 111",www.illusionsrentals.com,lontjes@therkgroup.com,Laurie Ontjes
Image Avenue Clothiers,Zavala,Phil & Rosy,+1 (210) 872-8786,+1 (210) 267-5866,78201,TX,San Antonio,"4522 Fredericksburg Rd. #B-45,A",www.imageaveclothiers.com,imageave99@icloud.com,Phil & Rosy Zavala
Indulgences Hair & Body Salon,Foreman,Lilian,,+1 (210) 384-0134,78213,TX,San Antonio,"8055 West Ave, Suite 121",www.indulgenceshairsalonsanantonio.com,indulgenceshb@sbcglobal.net,Lilian Foreman
Ivy Hall,McDiarmid,Tim,,,78210,TX,San Antonio,1127 South St. Mary's Street,ivyhallevents.com,tim@timthegirl.com,Tim McDiarmid
JAX Studio,Roberson,Jacqueline,+1 (512) 903-3043,+1 (210) 990-5299,78212,TX,San Antonio,1806 Blanco Rd,www.jaxstudiosa.com,Jax@jaxstudiosa.com,Jacqueline Roberson
JC Events,Craft,Jennifer,,+1 (210) 643-7133,78248,TX,San Antonio,14924 Forward Pass,www.eventsbyjennifercraft.com,jennifer@jcraftevents.com,Jennifer Craft
Jersson Luna Photography,Luna,Jersson,,+1 (210) 848-8121,78216,TX,San Antonio,9910 San Pedro,https://jerssonlunaphotography.com/,jerssonlunaphotography@gmail.com,Jersson Luna
Jimmy Lyn's Event Planning & Catering,Fagala,Cayce,+1 (210) 255-7483,+1 (210) 618-4063,78015,TX,Fair Oaks Ranch,30281 Saratoga Lane,www.jimmylyns.com,cayce@jimmylyns.com,Cayce Fagala
Jingu House & Japanese Tea Garden,Hasslocher,Caryn,,+1 (210) 226-5919,78212,TX,San Antonio,3853 N. St. Mary's,www.jinguhousesa.com,caryn@freshhorizons.com,Caryn Hasslocher
JL Bar Ranch Resort and Spa,James,,,+1 (855) 414-3337,76950,TX,Sonora,3500 Private Rd 2254,www.jlbar.com,vickicolacicco@yahoo.com,James
Joe Caruso,Caruso,Joe,+1 (847) 331-0247,+1 (847) 331-0247,78248,TX,San Antonio,22 Ancient Bend,www.joeshow.com,joeshowdotcom@yahoo.com,Joe Caruso
Jonathan Ivy Photography,Foster,Samantha & Jonathan,,+1 (281) 224-1937,78230,TX,San Antonio,2603 Whisper Hill St,http://www.jonathanivyphoto.com/,info@jonathanivy.com,Samantha & Jonathan Foster
Jose Fernando Studio,Fernando,Jose,,+1 (210) 710-9705,78201,TX,San Antonio,1636 Sacramento Street,www.JoseFernandoStudio.com,josefernandostudio@gmail.com,Jose Fernando
Joyful Unions San Antonio,Mosley,Sally,,+1 (210) 440-2885,78148,TX,Universal City,126 Sage Drive,https://joyfulweddingofficiantsanantonio.com/,joyfulunions@gmail.com,Sally Mosley
Joyous 442 Event Planning + Design,Thayer,Vicki,,+1 (210) 232-2230,78114,TX,Floresville,1843 Sunnyside Rd,http://www.joyous442.com,info@joyous442.com,Vicki Thayer
Julian Gold Bridal Salon,Young,Melinda,+1 (210) 857-4274,+1 (210) 824-2493,78212,TX,San Antonio,4109 McCullough,www.juliangold.com,myoung@juliangold.com,Melinda Young
Kelly Lepeska,Lepeska,Kelly,,+1 (330) 354-1587,78258-7206,TX,San Antonio,1502 Wild Peak,www.kellylepeska.com,Kalepeska@yahoo.com,Kelly Lepeska
Kendall Point,Voss,Kristin,+1 (210) 710-0540,+1 (830) 229-5090,78006,TX,Boerne,20 Guthrie Road,www.kendallpoint.com,kristin@kendallplantation.com,Kristin Voss
Keziah Bevans Bridal Hair and Makeup Artistry,Thomas,Keziah,,+1 (224) 200-2934,78205,TX,San Antonio,"118 Broadway, Suite 210",https://www.keziahbevans.com,info@keziahbevans.com,Keziah Bevans Thomas
Khalil and Co. Bridal and Beauty,Khalil,Adriana,,+1 (210) 848-7630,78229,TX,San Antonio,8746 Wurzbach Rd Suite 201,https://www.khalilcobeauty.com/,adriana_khalil@hotmail.com,Adriana Khalil
Kiwi Kouture Boudoir Photography,Miller,Dane,,+1 (210) 735-5555,78201,TX,San Antonio,1112 West Avenue,www.kiwikouture.com,dane@doskiwis.com,Dane Miller
Klarity Photos,Williams,Alvinn,,+1 (210) 765-2211,78155,TX,Seguin,2151 Silo Ridge,https://www.klarityphotos.com/,Klarity_photos@yahoo.com,Alvinn Williams
"Kneaded Cupboard, The",Parham,Rose,+1 (210) 887-0970,+1 (210) 887-0970,78121,TX,La Vernia,125 Diamond View Drive,https://thekneadedcupboard.com/,rose@thekneadedcupboard.com,Rose Parham
La Bonne Vie Ranch,Jones,Carroll,+1 (254) 661-2721,+1 (254) 661-2721,78624,TX,Fredericksburg,1872 Pfiester Rd,LaBonneVieRanch.com,info@labonnevieranch.com,Carroll Jones
La Cantera Resort & Spa,Jarzombek,Nikki,,+1 (210) 558-5584,78256,TX,San Antonio,16641 La Cantera Pkwy,www.LaCanteraResort.com,njarzombek@lacanteraresort.com,Nikki Jarzombek
La Escondida Celebration Center,Berkley,Candy,,+1 (210) 313-4209,78023,TX,Helotes,9888 Escondida Road,www.laescondidacelebrationcenter.com,laescondidaevents@gmail.com,Candy Berkley
Lambermont Events,Liston,Dona,+1 (956) 893-2046,+1 (210) 271-9145,78208,TX,San Antonio,950 E. Grayson Street,www.lambermontevents.com,info@lambermontevents.com,Dona Liston
Las Fuentes By Emporium,Cavazos,Yaramin,,+1 (210) 787-0849,78253,TX,San Antonio,"11624 Culebra, Suite 501",www.LasFuentesBanquetHall.com,lasfuentesbyemporium@yahoo.com,Yaramin Cavazos
Lassos by Design,Erskine,Thelma,,+1 (210) 268-2600,78154,TX,Schertz,11720 Clear WL,www.lassosbydesign.com,thelma@lassosbydesign.com,Thelma Erskine
Lasting Impressions by Design,Doll,Joanne,,+1 (210) 209-2755,78249,TX,San Antonio,7702 Parkwood Way,https://www.lastingimpressionsbydesign.com/,events@lastingimpressionsbydesign.com,Joanne Doll
Laura Stiles Photo,Stiles,Laura,,+1 (512) 964-0823,78245,TX,San Antonio,9624 Rousseau,https://www.laurastilesphoto.com/,laurareedstiles@icloud.com,Laura Stiles
Lee Coronado Photography,Coronado,Lee,+1 (210) 426-2626,+1 (210) 495-3686,78258,TX,San Antonio,18011 Crystal Knoll,www.leecoronado.com/,Coronado7@gmail.com,Lee Coronado
Lesley's Flowers,McMillan,Lesley,+1 (830) 480-4058,+1 (830) 769-3585,78026,TX,Jourdanton,1302 SIMMONS AVENUE,https://www.lesleysflowersandgifts.com/,flowershop78026@gmail.com,Lesley McMillan
Leslie Lane Llama Farm,Leslie,Susan,+1 (830) 401-0819,+1 (830) 401-0819,78155,TX,Seguin,651 Land Ranch Rd,http://www.leslielanellamas.com/,leslielanellamas@gmail.com,Susan Leslie
Limelight San Antonio,Rindner,Josh,+1 (210) 842-4409,+1 (210) 842-6620,78249,TX,San Antonio,"6391 De Zavala Road, Suite 221",www.limelightsanantonio.com,pictures@limelightsanantonio.com,Josh Rindner
Linda Rukavina Photography,Rukavina,Linda,+1 (210) 323-8825,+1 (830) 331-8609,78006,TX,Boerne,102 S Main St,www.rukavinaphotography.com,linda@rukavinaphotography.com,Linda Rukavina
Liv and Love Bridal,Duran,Olivia,+1 (210) 262-1703,+1 (210) 698-7373,78257,TX,San Antonio,"25035 IH-10 W. Frontage Rd, #102",www.livlovebridal.com,olivia@LivandLoveBridal.com,Olivia Duran
Lo Caruthers Photography,Caruthers,Lo,,+1 (210) 776-5602,78109,TX,Converse,10419 Queensland Way,www.locaruthers.com,laurencaruthers@me.com,Lo Caruthers
Los Encinos Hill Country Estate,Dominguez,Bertha,+1 (210) 573-4078,+1 (210) 698-1654,78255,TX,San Antonio,24183 Boerne Stage Road,www.LosEncinos.com,bertha@losencinos.com,Bertha Dominguez
Lost Mission,Wiens,Sara,+1 (cel) 410-7378,+1 (210) 323-1955,78070,TX,Spring Branch,2101 Anhalt Road,www.lostmission.com,sara@lostmission.com,Sara Wiens
Love Story Addicts,Gafke,Heather,,+1 (713) 560-8952,78259,TX,San Antonio,18523 Gran Mesa,www.lovestoryaddicts.com,Hgafke@lovestoryaddicts.com,Heather Gafke
"Love, Lipstick and Lashes",Gorman,Laura,+1 (917) 318-2538,+1 (917) 318-2538,78154,TX,Selma,"15069 IH 35 N, Bldg 2121, Ste #26",www.love-lipsticklashes.com,laura.gorman1@gmail.com,Laura Gorman
Lumen Events,Cabrera Boyd,Tania,,+1 (210) 771-4107,78230,TX,San Antonio,"13409 NW Military Hwy, Suite 108",www.LumenEvents.net,tania@lumenevents.net,Tania Cabrera Boyd
Luxe Appel Social Events,Elaiho,Adesuwa,+1 (210) 540-7449,+1 (210) 540-7449,78205,TX,San Antonio,"700 N. St. Mary's Street, Suite 1400",www.luxeappel.com,Contact@luxeappel.com,Adesuwa Elaiho
Luxe Beauté Atelier (Irene O'Brien Makeup),O'Brien,Irene,,+1 (347) 242-9513,78205,TX,San Antonio,"118 Broadway, Suite 335",https://irenecobrien.com/portfolio/,info@irenecobrien.com,Irene O'Brien
Mad Mad Photo Booths,Newberry,Shannon,+1 (210) 563-5665,+1 (210) 971-4623,78240,TX,San Antonio,8107 Babe Ruth,madmadphotobooths.com,info@madmadphotobooths.com,Shannon Newberry
Madame Make-Up On Location,Giguere,Elizabeth,+1 (210) 901-0149,+1 (210) 826-0138,78212-3451,TX,San Antonio,"2520  N. Main Ave, Suite A",www.madamemakeup.com,mmakeup@yahoo.com,Elizabeth Giguere
Magnolia Gardens on Main,Pozo,Gonzalo,+1 (210) 685-3123,+1 (210) 685-3123,78212,TX,San Antonio,2030 N. Main Ave.,www.magnoliagardensonmain.com,gonzalo.o.pozo@gmail.com,Gonzalo Pozo
Magnolia Halle,Schleicher,Tricia,+1 (512) 675-0205,+1 (210) 496-0828,78240,TX,San Antonio,10333 Huebner Rd,www.magnoliaHall.com,getinfo@magnoliahall.com,Tricia Schleicher
Marby's Brides,Shaw,Marbella,,+1 (210) 900-6775,78218,TX,San Antonio,5034 Guinevere Dr.,,shmarbyshaw@gmail.com,Marbella Shaw
Marriott Plaza San Antonio,Lemasters,Geoff,+1 (903) 804-6933,+1 (210) 353-8055,78205,TX,San Antonio,555 South Alamo Street,marriott.com/satpl,geoff.lemasters@whitelodging.com,Geoff Lemasters
Masquerade DJ Service,Calderon,Ernest,+1 (210) 789-3535,+1 (210) 789-3535,78258,TX,San Antonio,"19179 Blanco Rd, Ste 105, PMB 101",www.djmasquerade.com,djsatx@gmail.com,Ernest Calderon
Matamoros Restaurante Y Cantina,DJahansouzi,Fara,,+1 (210) 558-3200,78249,TX,San Antonio,12844 IH-10 West,www.matamorostx.com,matamorostx@yahoo.com,Fara DJahansouzi
May Carlson Photography,Carlson,May,,+1 (210) 560-7099,78130,TX,New Braunfels,143 Ruger Path,www.maycarlson.com,maycarlson@me.com,May Carlson
Mayra Eads Photography,Eads,Mayra,,+1 (830) 370-8716,78025,TX,Ingram,P.O. Box 1155,www.Mayraeads.com,mephotographytx@gmail.com,Mayra Eads
MBP PhotoBooth,Buenrostro,Marco,,+1 (210) 307-6111,78216,TX,San Antonio,402 West Rhapsody,www.mbpphotoboothco.com,mbpphotoboothco@gmail.com,Marco Buenrostro
"McNay Art Museum, The",McGarraugh,Julie,,+1 (210) 805-1761,78209-0069,TX,San Antonio,6000 N. New Braunfels,www.mcnayart.org,julie.mcgarraugh@mcnayart.org,Julie McGarraugh
Meemo's Bakery & Cafe,Palacios,Amber,,+1 (210) 390-1592,78217,TX,San Antonio,2611 Wagon Wheel St.,www.meemosbakery.com,meemosbakery@yahoo.com,Amber Palacios
Melissa & Arturo Photography,Gonzalez,Melissa,,+1 (210) 421-8845,78250,TX,San Antonio,9339 Brushy Point St.,melissaandarturo.com,hello@melissaandarturo.com,Melissa Gonzalez
Mind Your Self,Groves,Carla,+1 (210) 819-1435,+1 (210) 564-9116,78228,TX,San Antonio,"4203 Woodcock Drive, Suite 216",www.mindyourselfcounseling.com,carla@mindyourselfcounseling.com,Carla Groves
Mission Trail Events,Deleon,Judi,,+1 (210) 386-3722,78210,TX,San Antonio,1135 Mission Road,http://www.blessedsacramentacademysa.org,info@missiontrailevents.com,Judi Deleon
Modern Wellness Counseling,Rodriguez,Priscilla,,+1 (210) 279-3597,78216,TX,San Antonio,"7400 Blanco Road, Suite 250",www.modernwellnesscounseling.com,priscilla@modernwellnesscounseling.com,Priscilla Rodriguez
Moments By Quattro,Hinojosa,Jesus,,+1 (210) 712-9861,78238,TX,San Antonio,"6904 Bandera Road, Suite 3",https://www.momentsbyquattro.com/,jesus_hinojosa_g@yahoo.com,Jesus Hinojosa
My Own Chef Catering,Bonewitz,Vickie,+1 (830) 456-3716,+1 (830) 997-5458,78624,TX,Fredericksburg,721 Brehmer Ln,http://www.myownchef.com/,office@myownchef.com,Vickie Bonewitz
NACE Alamo Chapter,Receivable,Accounts,,+1 (210) 599-0336,78209,TX,San Antonio,PO Box 6471,www.sanantonionace.com,ckenway@saweddings.com,Accounts Receivable
Nadler's Bakery,Mendez,Alexia,,+1 (210) 340-1021,78229,TX,San Antonio,1621 Babcock,www.Nadlers.com,info@nadlers.com,Alexia Mendez
Nelda Etheredge Harpist,Etheredge,Nelda,+1 (210) 473-8399,+1 (210) 829-4515,78209,TX,San Antonio,1248 Austin Hwy.  Suite 106-192,www.saharp.com,neldaetheredge@yahoo.com,Nelda Etheredge
New Braunfels Wedding Chamber,McCarty,Rhonda,,,,TX,New Braunfels,,www.nbweddingchamber.com,nbweddingchamber@gmail.com,Rhonda Hollon & Jill McCarty
Nicole Mera,Swift,Nikki,,+1 (210) 865-7874,78216,TX,San Antonio,13722 Embassy Row,www.nicolemera.com,nikki@nicolemera.com,Nikki Swift
Nolo Beauty Bar,Lozano,Sarah,,+1 (210) 412-2968,78223,TX,San Antonio,3254 Bob Billa Street,https://www.nolobeautybar.com,nolobeautybar@gmail.com,Sarah Lozano
Notable Design,Dunn,Colleen,,+1 (210) 385-0231,78249,TX,San Antonio,5962 Heather View,www.notabledesigngraphics.com,notabledesigninfo@gmail.com,Colleen Dunn
Oak Valley Vineyards Restaurant,Colley,Beth,,+1 (830) 980-8033,78266,TX,San Antonio,27315 Natural Bridge Caverns Rd,www.oakvalleyvineyardsrestaurant.com,OakValleyVineyard@gmail.com,Beth and Tim Colley
Oakleaf Florist,Gonzales,Debby,+1 (210) 573-5919,+1 (210) 653-8180,78217,TX,San Antonio,4185 Naco-Perrin,www.oakleaf-flowers.com,oakleaf@oakleafflorist.com,Debby Gonzales
"Oaks at Heavenly, The",Ortiz,Loretta,,+1 (210) 988-3334,78023,TX,Helotes,18826 Bandera Rd,www.oaksatheavenly.com,Loretta@oaksatheavenly.com,Loretta Ortiz
"Olive Branch Floral, Design & Boutique, The",Willmon,Tiffiney,+1 (936) 223-2527,+1 (830) 268-8435,78064,TX,Pleasanton,506 W. Oaklawn Rd,https://vintagelaceantiques.com/weddings,tiffiney_willmon@yahoo.com,Tiffiney Willmon
Olivia Grace Bridal,Owen,Razil,+1 (210) 313-0363,+1 (210) 876-5366,78212,TX,San Antonio,4343 McCullough,http://oliviagracebridalshop.com/,razil@oliviagracebridalshop.com,Razil Suarez Owen
Olympia Hills Golf & Event Center,Rein,Katie,,+1 (210) 945-4653,78148,TX,Universal City,12900 Mt. Olympus Drive,www.OlympiaHillsGolf.com,kchauret@olympiahillsgolf.com,Katie Chauret Rein
Omni Hotel-Colonnade,Vina,Sue,+1 (210) 834-0694,+1 (210) 699-5827,78230,TX,San Antonio,9821 Colonnade Blvd.,www.OmniSanAntonio.com,svina@omnihotels.com,Sue Vina
Omni La Mansion del Rio,James,Sarah,,+1 (210) 518-1052,78205,TX,San Antonio,112 College Street,www.OmniHotels.com/LaMansion,sarah.james@omnihotels.com,Sarah James
One-Stop Professional DJ Services,Rodriguez,J.J.,+1 (210) 601-7074,+1 (210) 490-5800,78259,TX,San Antonio,3411 Martesia St.,www.onestoppartyplanners.com,jjrodriguez@earthlink.net,J.J. Rodriguez
Orchids In Blue,Milo,Lidia,,+1 210-838-0535,78251,TX,San Antonio,4114 Cactus Oaks Road,www.orchidsinblue.com,lidiamilo@yahoo.com,Lidia Milo
"Overlook Event Center, The",Frakes,John,,+1 (830) 751-3868,78056,TX,Mico,169 Private Rd 1710,www.theoverlookeventcenter.com,info@theoverlookeventcenter.com,John Frakes
Paloma Blanca Mexican Cuisine,Mendoza,Nelly,,+1 (210) 822-6151,78209,TX,San Antonio,5800 Broadway,www.PalomaBlanca.net,nelly@palomablanca.net,Nelly Mendoza
Pat O'Brien's Grand Promenade,Napier,Christa,+1 (210) 378-3453,+1 (210) 212-3957,78205,TX,San Antonio,121 Alamo Plaza,www.TheGrandPromenade.com,sanantoniosales2@patobriens.com,Christa Napier
Paty Araujo Photography,Duet,Lidia,+1 (985) 253-1087,+1 (985) 253-1087,78065,TX,Poteet,557 Majestic Oaks Dr.,http://patyaraujophotography.com,patysphoto@gmail.com,Lidia Patricia Duet
Pearl Brewery LLC,Millsap,Mesha,,+1 (210) 212-7260,78215,TX,San Antonio,"303 Pearl Parkway, Suite 300",www.atpearl.com/events,mmillsap@pearlbrewery.com,Mesha Millsap
Pedrotti's Ranch,Pedrotti,Anthony,+1 (210) 508-1979,+1 (210) 695-3533,78023,TX,Helotes,13715 FM 1560 N.,www.pedrottis.com,anthony@pedrottis.com,Anthony Pedrotti
PG Special Events Catering,Lopez,Jesse,,+1 (210) 843-7229,78163,TX,Bulverde,"29782 US Hwy 281, Ste 220",www.pgSpecialEvents.com,pgevents24@yahoo.com,"Jesse Lopez, Jr."
Philip Thomas Photography,Thomas,Philip,,+1 (210) 833-1168,78258,TX,San Antonio,25111 Arrow Glen,www.philipthomas.com,info@philipthomas.com,Philip Thomas
Phoenician Ballroom,Harb,Joseph,+1 (210) 571-4716,+1 (210) 696-5937,78240,TX,San Antonio,6070 Babcock,www.StGeorgeMaroniteCenter.com,phoenicianballroom@gmail.com,Joseph Harb
Phoenix Hospitality Group,Stallcup,Charles,+1 (210) 260-7670,+1 (210) 388-0355,78210,TX,San Antonio,518 Adams St,www.phoenixhospitalityGroup.com,charles@phg-tx.com,Charles Stallcup
Plaza Club,Doris,Paula,,+1 (210) 227-4191,78205,TX,San Antonio,"100 W. Houston, Suite 2100",www.myplazaclub.com,paula.doris@myplazaclub.com,Paula Doris
Plaza Lecea,Holguin,Nancy,+1 (210) 834-2018,+1 (210) 615-0009,78240,TX,San Antonio,"5441 Babcock Road, Suite 200A",www.PlazaLecea.com,nholguin@ppdg.com,Nancy Holguin
Portraits By Roxann Lynn,Gallegos,Roxann,,+1 (830) 279-1828,78872,TX,La Pryor,PO Box 356,https://texassharpshooter.com,roxann@portraitsbyroxannlynn.com,Roxann Gallegos
Power Sounds Event Entertainment,DePaz,David,,+1 (210) 365-0052,78216,TX,San Antonio,402 West Rhapsody Dr.,www.powersoundsdj.com,powersoundsdj@gmail.com,David DePaz
"Printed Bride, The",DeLoach Kayga,Brandi,,+1 (512) 277-4985,78653,TX,Manor,19312 WT Gallaway St.,https://theprintedbride.com/,brandi@theprintedbride.com,Brandi DeLoach Kayga
Raise the Bar,Lugo,Debborah,,+1 (210) 639-3375,78245,TX,San Antonio,5525 Mansions Bluffs,www.raisethebartexas.com,deborah@raisethebartexas.com,Debborah Lugo
Raul's Photography,Medina,Raul,+1 (210) 849-2146,+1 (210) 725-7117,78251,TX,San Antonio,9459 Mulberry Path,www.raulsphotography.com,raulsphotography@yahoo.com,Raul Medina
Ray Ellison Ballroom,Sutterfield,Kristi,+1 (210) 849-9373,+1 (210) 696-3800,78231,TX,San Antonio,3625 Paesanos Parkway,www.SABuilders.com,ksutterfield@sabuilders.com,Kristi Sutterfield
Red Berry Mansion,Torres,Erica,+1 (210) 307-9133,+1 (210) 307-9130,78258,TX,San Antonio,"21702 Hardy Oak Blvd., Ste. 105",www.RedBerryMansion.com,americalynne@gmail.com,Erica Torres
Reese Events Group,Reese,Ryan,+1 (210) 363-8160,+1 (210) 340-4088,78216,TX,San Antonio,402 West Rhapsody,https://www.reeseeventsgroup.com/,ryan@reeseeventsgroup.com,Ryan Reese
Reiley + Rose,Reiley,Megan,,+1 (830) 660-2328,78155,TX,Seguin,125 Echo Lane,http://www.reileyandrose.com/,megan@reileyandrose.com,Megan Reiley
Rex Formal Wear-San Pedro,Barnes,Quincy,+1 (210) 710-5275,+1 (210) 824-2889,78216,TX,San Antonio,6844 San Pedro Ave,www.rexformalwear.com,Quincy@rexformalwear.com,Quincy Barnes
Rio Cibolo Ranch,Christopher,Margie,+1 (210) 857-7077,+1 (830) 914-3325,78201,TX,San Antonio,P.O. Box 5470,www.RioCiboloOutdoorWeddings.com,info@riociboloranch.com,Margie Christopher
Rio Plaza,Blankenship,Christine,,+1 (210) 293-6113,78205,TX,San Antonio,"245 E. Commerce, Ste 100",www.rioplaza.net,christine@rioplaza.net,Christine Blankenship
River City Catering,Cameron,Alane,+1 (830) 237-7910,+1 (830) 620-1900,78130,TX,New Braunfels,2771 FM 725,www.RiverCityCatering.com,alane@rivercitycatering.com,Alane Cameron
River Terrace by Biga,Shea,Perny,,+1 (210) 225-0722,78205,TX,San Antonio,"203 S. St. Mary's Street,  Ste 100",RiverterracebyBiga.com,perny@biga.com,Perny Shea
Riverside Catering,Zoeller,Cindy,+1 (830) 765-2519,+1 (830) 765-2479,78006,TX,Boerne,346D Ammann Rd,https://riverside-catering.com/,Cindy@riversidebbqcatering.com,Cindy Zoeller
Rockin' B Ranch,Riordan,Janice,+1 (210) 421-1417,+1 (830) 510-6844,78063,TX,Pipe Creek,776 Mountain View Lane,https://www.rockinbranchtx.com/,janice@rockinbranchtx.com,Janice Riordan
Rosemary's Catering,,,,+1 (210) 223-2680,78205,TX,San Antonio,1220 E. Commerce,www.rosemaryscatering.com,,
Rosenberg Skyroom,Ponce,Stephanie,,+1 (210) 829-2733,78212,TX,San Antonio,"4301 Broadway, CPO #307",www.RosenbergSkyRoom.com,slsauced@uiwtx.edu,Stephanie Ponce
"Royal Flush, A",Daniels,Brian,,+1 (210) 414-4745,78254,TX,San Antonio,9206 Wickheather St,www.aroyalflush.net,bdaniels7315@gmail.com,Brian Daniels
Rustic Romance Rentals,Gonzalez,Sandy,,+1 (210) 273-5571,78623,TX,Fischer,190 Paint Horse Ln,www.rusticromancerentals.com,rusticromance15@gmail.com,Sandy Gonzalez
Ryan Hamilton Photography,Hamilton,Ryan,,+1 210-663-4068,78245,TX,San Antonio,9418 Gold Hill,www.ryanhamiltonphoto.com,rhamilton138@yahoo.com,Ryan Hamilton
San Antonio Botanical Garden,Rodriguez,Eliana,,+1 (210) 536-1400,78209,TX,San Antonio,P. O. Box 6569,www.sabot.org,erodriguez@sabot.org,Eliana Rodriguez
San Antonio Wedding Professionals,Henry,Audrie,,+1 (210) 504-9009,78254,TX,San Antonio,8319 Dragon St,https://saweddingpros.com/,info@saweddingpros.com,Audrie Henry
San Fernando Hall,Cortez-Lara,Eloise,+1 (210) 827-7302,+1 (210) 227-1297,78205,TX,San Antonio,231 West Commerce,www.sfcathedral.org/venues,ecortez-lara@sfcathedral.org,Eloise Cortez-Lara
Sarah Katherine Portrait Design,Gaitan,Sarah,,+1 (830) 275-8682,78253,TX,San Antonio,14921 Goldfinch Way,sarahkportraits.com,sarahkportraits@gmail.com,Sarah Gaitan
Secrets by Miss Lisa,Blaschke,Lisa,,+1 (830) 481-3944,78132,TX,New Braunfels,333 Pinnacle Pkwy,www.secretsbymisslisa.com,lisa@lisaonlocation.com,Lisa Blaschke
ShastaGram Vintage Trailer Photo Booth,Buntzer,Nolan,,+1 (830) 609-8664,78130,TX,New Braunfels,532 Rock Street,,shastagramphoto@gmail.com,Nolan Buntzer
Sheraton Gunter Hotel,Puente,David,,+1 (210) 227-3241,78205,TX,San Antonio,205 E. Houston Street,www.sheratongunter.com/wedding-venues-in-san-antonio,dpuente@sheratongunter.com,David Puente
Signature Ice Sculptures,Thistlethwaite,Andrew & Danielle,+1 (574) 226-1595,+1 (210) 666-1301,78219,TX,San Antonio,4727 Cotton Belt,www.signatureice.com,signatureicesatx@gmail.com,Andrew & Danielle Thistlethwaite
Sisterdale Dance Hall & Opera House,Rodriguez-Pierce,Anna,,+1 (210) 749-7456,78006,TX,Sisterdale,1210 Sisterdale Road,www.sisterdaledancehall.com,info@sisterdaledancehall.com,Anna Rodriguez-Pierce
Smoke In the Hills BBQ,Mann,Kelly,,+1 (830) 230-5500,78006,TX,Boerne,31 Walnut Grove Rd,http://www.smokeinthehillsbbq.com/,Kelly@smokeinthehillsbbq.com,Kelly Mann
Soigné & Co.,Espinoza,Judith,,+1 (210) 336-9641,78247,TX,San Antonio,15323 Clear Grove,www.soigne-co.com,soigne@soigne-co.com,Judith Espinoza
Sonja Westberg Harpist,Westberg,Sonja,,+1 (210) 415-5456,78260,TX,San Antonio,811 Synergy Hill,http://www.sonjawestbergharp.com/,sonjawestberg.txharp@gmail.com,Sonja Westberg
Southern Tapsters,Purtle,Jerry,,+1 (720) 550-9989,78132,TX,New Braunfels,125 Forest Trail,southerntapsters.com,southerntapsters@gmail.com,Jerry Purtle
Spice of Life Catering,Bomberg,Mike,+1 (210) 381-9619,+1 (210) 366-1220,78213,TX,San Antonio,1746 Lockhill-Selma,www.SpiceOfLifeSA.com,sales@spiceoflifesa.com,Mike Bomberg
"Spire, The  C/O Reata",Andrus,Ellen,,+1 (210) 710-6880,78205,TX,San Antonio,123 Heiman Street,,showcaseac@aol.com,Ellen Andrus
"St. Anthony Hotel, The",Nations,Libby,,+1 (210) 227-4392,78205,TX,San Antonio,300 East Travis St.,www.thestanthonyhotel.com,lnations@theStanthonyhotel.com,Libby Nations
St. Matthew's McDonald Family Center,Zarazua,Bernard,,+1 (210) 478-5001,78230,TX,San Antonio,10703 Wurzbach Road,https://stmatts.org/mcdonaldfamilycenter,bzarazua@stmatts.org,Bernard Zarazua
